,review_id,star_rating,helpful_votes,total_votes
568,R1WTS82L16MNI7,5,0,0
53717,R3C3IGI5XV3I59,5,0,0
71917,R2JHDRYIN9B65Q,4,0,0
71402,R2PVLUEIGBHS08,5,0,0
38456,RCWJJPQZ4ES16,5,0,0
57068,ROWUC69I1K9JK,5,0,0
59803,R2BZ07ABRCR8T7,1,9,16
37538,R113HHQF5TYSAM,5,0,2
81092,RTDH43UZ52WKZ,5,1,1
24122,R1MT5P1VQW8DZF,1,1,2
72328,R2V8EQTTJYN9BH,1,0,0
12834,RWVL329MJCAP8,3,0,0
52642,R2BYAAZI6MNSXR,3,1,4
100266,R30V8SJKP75I51,1,4,5
21239,R2FD6Y0XM99A6Z,5,0,0
34745,R2IW6JPUMRQZNF,5,0,1
78261,R1GWX116CNGXGC,5,0,0
45671,R1EY6D42UKWL3B,1,1,1
136681,R1R8FABNY315PQ,3,0,0
18164,RWKJ1OZRTTVXV,5,0,0
66025,R1C28R3Z9M938T,5,0,0
139319,R1W8MNXRXBW6TV,5,14,15
59107,R37FDSVJK898V6,4,0,0
81570,R3OEWH54UX74S5,5,1,1
67404,R37IZXBL7KHTXI,5,0,0
131953,R2LUQ2AK8SWFIY,4,1,8
99170,R2FPO432GCFOPM,1,12,14
75873,R33EQ0FWE12CUW,4,1,2
36815,R383F265XCEZVY,2,0,0
91486,R7VF2KI1QGM8N,5,0,0
10086,R3TRJTLABGLMIJ,4,0,0
134943,R39UO7LKAOV7WW,1,7,11
70541,R6VIC195EZ8QV,5,0,0
64474,R2AUB8LEJK05DF,5,0,0
40147,R2PQL05FGF1WQD,5,2,5
29475,R2PVJ18NTW7K9A,1,1,1
32320,R26UVQRGC48K6H,1,1,1
30816,R1MM16AZ8MCKU,5,0,0
92537,R12H14W1OV1NLY,5,0,0
55579,RAGVEII8S1XLS,1,1,3
10646,RXG9X0PBW11L2,3,0,0
23803,R3OWAY9QAAIJMY,3,0,1
65492,R1L77ZJPJFH1DW,4,0,0
14564,ROECTG1ZWG7ET,4,0,3
33608,R3445JE0CZDGJC,1,17,36
86050,R2V8URC9LQYOF,5,0,0
69899,R2VEBTJCNLYLJ9,2,3,6
27429,RA93V611PTO3B,1,1,1
136284,R38NHLCB1RJKBK,5,0,1
113774,R1AE5URCVCRHQ2,4,9,12
8927,R2IDPG2AGGLBYW,5,0,0
61674,R3D5288BA7OGMB,4,0,1
93097,R26AWGVPOVAPF7,2,0,0
101732,R2AKXTS5EZOOYO,1,5,6
129952,RD5A6RPZDES0W,4,0,0
28609,R3OSFVBSTVQ15Q,5,0,0
96142,R1ZKYOYCBJM50C,2,1,1
83289,R3DJXHJ5O0H51M,2,61,76
54880,R3IKCCLB0BJS69,5,0,0
26734,R3V3K0V4CO2DM1,5,0,0
38987,RKQNKM8C506X,5,0,0
113429,R72O8V7N1ZTXE,1,0,2
52226,R1U7T054JYWK3C,5,0,0
86386,R1585UJLXAODYS,1,0,1
131398,R1NA02UX4XYBBN,5,0,0
29116,RWF5BLZ6KLE18,3,1,1
25636,R2M2S8YBN4609S,4,0,0
126977,R330OHGY1SB34E,5,12,25
137496,R3IV4VDKGKM9G6,3,1,2
89400,RKUIY9ROBNB9J,1,3,4
16400,R1A1JTSHJSN4H5,4,0,0
27400,R16E2OYWN2YNS5,5,0,0
44732,R15FU34X3T4TO1,5,0,0
96064,R16JBVPCRO7QMJ,5,0,0
139277,RSZCEY1KVHHKW,5,1,2
57066,R1CZBBN0527HRT,1,11,11
127770,R1HU1VV5CWPL0Q,1,5,7
9749,R29R9HEKLPGY40,4,0,1
119876,R3M6U8F64D6TQR,1,0,0
7021,R2VYHYYH5Z0P2I,1,1,2
14468,RLHBSBZ2SKVPM,1,3,30
10456,R30RQ2707HF7M4,2,1,2
134193,R26WHOPBQGPFTS,1,3,6
128262,RCJI2081E3TG3,3,0,0
69110,RATAB8GD21A36,3,0,0
83194,R2EIC8U9FTJVB8,3,1,1
50060,R2LPEE8LJ6D68W,5,0,0
35259,R11U4JBB09XXTJ,1,91,94
71883,R341UXSM8ECUFJ,1,2,3
123573,R7MC0Z2P8BK87,5,2,2
45366,R1DNSKTDBZMRAR,4,0,0
128500,R2BDM2O9Y2I44Z,3,2,4
65241,R28INKCT1ZYLZI,1,0,0
22531,R828ZLK28BZYZ,1,0,0
135032,RYBRKEUHTV450,5,0,0
77628,R3SQ6N85KR38NX,1,1,1
40305,REKQVMZJWD2JH,5,0,0
70584,R184PV3S3SVJ0H,4,0,0
89863,RMKFFHRF23FYJ,5,0,0
89616,R8649UKWOF7O9,2,0,0
51236,R3E3BKVE5XOS4L,2,0,0
86283,R1SDCQXXLPIOLF,5,0,0
67453,R2H17Z7UHSHD2N,4,3,4
100603,R1WMBB2EW4K2ZA,3,0,0
44360,R1J0W9Y24TA3XU,2,2,2
99146,R27IEZXZ8UNSMW,5,0,2
86671,R28867QTE3NKAK,5,1,1
90678,R364MV5WO63FM4,4,5,6
80605,R2C05YL5LUP9F5,4,0,0
61724,RVFTD1RQWP2WC,4,0,0
95025,RBFJRAJPTEPPG,1,1,9
58865,R3S29BFZQDY07M,4,0,0
92279,R2Y0NYRCZXKIXP,5,0,0
57973,R3HO2DZUCNVJRH,5,0,0
72866,R2975DVKET614N,5,0,0
54035,R1CZ9W4M1FX61F,5,0,0
31992,R36B7BCLY51MD0,5,0,0
58160,R2OGCT4DQMS7XP,5,0,0
127664,R2ON7GKT3I16AZ,5,1,1
112075,RZ39DTV7063R5,4,1,1
128912,R1WZQRI0ITB5IT,4,3,3
84250,R220STZP258UZQ,4,0,0
126468,R3RBPUNDRBP62P,5,4,5
63149,R1T7UYXIO11GQ9,5,0,0
79156,R2CPR0SMH6O206,5,3,4
53473,R2PY40WXDPW376,5,0,0
51327,R2PDYKYVCYF83,5,0,0
48445,RNUIMDP83K991,1,0,0
26023,R2L4NJ94GK8ARA,4,0,0
41682,R3PJ48YDC9TY1F,5,0,0
38993,R1S5FHTFHP0QKX,5,0,0
63109,R228AVR8SVW3HF,5,0,0
9912,R2OFRKALNQH1KJ,5,0,0
70582,R2SQZT3232E1VQ,1,1,2
31893,R2ET3LH69NFC9O,5,0,0
28577,R3OKQ1G6PSZLQ2,4,0,0
37543,R2RMLYURI3QFT9,5,0,0
2991,R2KRJUEGCX177A,5,0,0
97156,R3ET738HYUUPCK,5,0,0
34470,R3DRSFYYBGO9WY,1,7,7
90194,R2CNSRGB6YX0XM,4,0,0
99134,R1T25DVA1PT2BR,1,0,1
984,R17VYDFRVVO2OJ,5,0,0
114026,RWICRLMJQ6B8V,5,0,0
76041,RCXNLP0VCHDCD,1,1,2
7515,R13HGJS1DJ5NF3,3,2,3
76988,R39RZ4BOUA5IDK,5,0,0
8988,R13M991Y5ZZ4TV,4,0,1
54212,R2PBE47S2O1JUS,5,0,0
78184,R3SFKFW2UNWUJ3,1,4,11
35667,R18MJLBTTT7Q0P,3,0,0
49448,RO89BNJ4C5MH,4,0,0
48873,R9L3CEM1PXTVS,1,0,0
10282,R1AE7HTN08C5HR,5,0,0
26186,RAGT9H51CLFSM,5,0,0
10344,R214RPGZ2WVDJ6,2,0,0
54182,R2N6HN53IA8MOU,2,21,27
4994,R118T3GMEL3XD4,5,5,6
26066,R2GTDNWRC9OCZG,1,1,1
90011,RVK5M9GBWV68F,5,0,0
65046,R2U6NQCUBHVOUD,4,0,1
55863,RHK329UDX066L,5,0,0
24120,R2KIFI8JPU2O3L,5,0,0
61439,R19MC9APU9AMS9,5,0,0
9235,R3G6MRPEI8ZTYN,1,1,2
108186,ROKKK3DPSIBSG,5,0,0
90447,R133DDO2H2DQ08,3,2,5
54806,R3V2F4NROW7GUH,5,2,7
137351,R2QQRQC1A5PM9Y,5,1,1
94600,R2BZT50YX54IC7,4,0,0
77006,R1UGEO56TWRS0Y,1,2,4
2089,RBFOONSN101LL,4,0,0
61032,RDTGPTMQYG22Z,5,0,0
85675,RJUKU6H5AD479,3,0,0
16833,REGGQV69U6XDL,1,0,0
74121,R2WECB7TEEWEU6,2,1,2
44094,R2RH38SBLABVRY,4,1,1
12263,R36305S3D47K7R,5,0,0
56718,R12ZX2E2939141,3,0,0
53160,RYPVVE2VL0MKR,5,1,1
137286,R38BF3V9PKOV2Z,3,0,1
42027,RPESVF4FEZ2BW,5,0,1
45289,R1SFFGPNCQWGVY,1,1,1
57253,R2LS5DSVEOXSCT,5,2,4
52402,R100NKREAFUN77,1,2,2
135867,R2N9IU6PWEJEK1,5,0,0
97127,R1SOP6G5Y8B483,2,1,1
83869,R2WTLKUJ70ZMFS,4,0,0
112608,R26XT2AC7534YD,5,0,0
79348,R2RQXCJMNJIY48,5,0,0
16026,R1DUQ1AFOGTOUR,5,0,0
31986,R3CBF155TIK6WE,4,0,1
62452,R9MHON8OCAT6D,5,0,0
94872,R5H3R6945S91B,1,0,0
106814,R2EVDD6D3A7PGJ,1,1,2
14460,R38LFAETDS2QUA,5,0,0
130367,R3QQFIFWXXB4YS,1,8,13
130776,R2VAUCYRQB3WG3,1,2,5
9925,R1FQSCXTFGXN1Q,5,0,0
47710,R27ON2D3N30DFH,5,0,1
140312,R1CNAGQA8AK70T,4,1,2
84450,R17F5U5PUI857D,5,0,0
115917,RITR7FQL5HJ5I,5,0,0
87993,RRNLK7VNY2JFW,1,0,1
8183,R1SK78TGY21CKD,3,0,0
66192,R14SI5XYLGYX6D,5,0,0
24756,RFP5QR3B63NZX,5,0,0
67238,R12MMBDMCMD11L,5,0,0
11817,R3RA3UVRYQFOGR,1,1,1
98233,R3D4OYC29LE7GN,3,0,0
85793,R1YRFHZSPB9E9U,5,0,0
26276,R23BX95NOM7BYI,5,0,0
59644,R2TMF4658N27GW,5,0,0
88903,R3A2SL9FAS85UT,3,1,1
130652,RBJFI24MPTMGH,2,2,4
93983,R1KYXD4XG2CFTJ,5,0,2
49212,R1MSNNPYFHZXW,5,0,0
41798,R269BKIIVJDNZ8,5,1,1
84739,R1TWRA0FDKJXPZ,5,0,0
70691,RGMNPI62X5ZDR,5,0,0
59110,R339EB4VOWAL8E,1,0,2
72820,R1O91QRRBMEWDI,2,4,5
70454,RLNVSSQM4YFAY,5,0,0
133384,R1S89MXCYIIJD6,2,3,4
120417,R173U0G8X0L3SF,3,1,8
123308,R28XUXY0L46JC2,5,0,0
81347,RO6ZQ6QUT76OA,3,1,1
58093,R2AMS1J9PAW2DZ,5,7,8
53687,R2M5MILZSSWDS,5,0,0
72997,RKV3TS6CEYKOU,5,0,0
136394,R3O046CJX6B8E7,5,5,5
79130,R2NV33L9LQSNXE,4,0,0
40751,R1F4Q2C0QDVJ20,5,0,0
85705,R1TUG776L40G3D,5,0,0
33057,R2QBEX3YGKMU2P,4,0,0
4259,R1E6N8EACKD8IZ,5,0,0
23435,R1XG35E5P5N6Y7,5,0,0
49671,R1AYQJAB6MO92L,5,0,0
34965,RMRAFZHV9E249,3,0,0
19067,R9QWM32NIBSLP,4,0,1
32436,ROWVNRXJ82FWE,4,0,0
95126,R3IIBKLU6M512K,5,0,0
32238,RCSUHE57Q8XJP,1,0,0
41701,R1WRFNOX3W8VIW,5,0,0
53623,RFB28UHXVFPFU,5,0,0
133086,R9ZWBPPC0YRKK,5,0,0
58918,R2LDT00K6N7POI,5,0,0
141508,R2E95W23BXAUKT,4,2,2
93337,R1YTO44QURCCS6,4,0,0
130565,RZQPFSTABZ2WG,4,2,2
80367,R339IJQMR9YBPY,1,7,7
9054,R7RJAQVQCXBFO,5,1,1
35484,R12PGF4OMBPB59,4,0,0
77980,R2XDMZFL0FKHT4,1,0,0
13377,RMCX4IHRGB8AH,1,0,0
9960,RYGDY5YSVFW5X,2,1,1
12476,RCGVABPONEEEB,5,0,0
96562,R34UYSH3DVSK81,5,1,1
124726,RM8TTHC2OD2H,4,1,1
34043,R3W1108DFB4RH3,5,0,0
109016,R37GQ1KU18ACC8,1,0,3
89136,R2UQTXOOXPENU6,2,0,0
140271,R3964833A4WMN9,5,2,2
59044,R1A1GFOZS2ZW41,3,0,0
34543,R1MCYFEAXCK83Q,5,0,0
35283,R1ZX8CVGD7J4E4,1,2,4
77201,R3JO3M85601CWU,1,1,1
53690,R3KCGJF4B6HFA6,5,0,0
63055,R1NKVZ4EL318NK,4,1,1
6416,R26BCP0VKDLV77,5,0,1
90049,R3HBKTFT4E13F2,5,0,0
92872,R3HAX7ZK5CN7IY,5,0,0
89043,R2ZGVA65ZWN1I1,1,1,1
116439,R1MO2H6LPEYN4W,3,0,0
9318,R1FRGVTSQZSDTK,1,3,3
31000,RVPBZSWIHDBGF,3,0,0
48054,R2V5B48WX4FS7J,5,0,0
109012,R1D87765TH98XL,5,1,1
36799,RNWR2EF3MPVHZ,5,0,1
58113,R250MW90997Y94,4,0,0
142261,R1UQPC1T84HCUX,3,14,14
11108,R3T7NKG5CISVG9,4,0,0
66650,R3AN4DI3CS2C06,5,0,0
31706,RK1FY8JYKPQ4W,1,1,3
37310,R1L6LUFSK95I7H,5,0,0
120695,R2V38OQOCDWW0N,5,0,0
7070,R13658TNNGBUOW,5,4,4
19528,R25Q4VCLBLYPRO,5,0,0
14797,R2U1HLUWHH4X3O,2,0,1
13529,R3B9B49FQMVYYU,1,4,4
122953,R1MOPQXY9WFVXO,1,2,6
16835,R3DFSBN2527CJ2,4,0,5
87770,RHBHJ6QH0JKF4,5,0,0
37232,R1NDQKWGDJQNI7,5,0,0
94153,R17OYWUX6AIQXZ,1,3,3
34394,R23GHNYHJ6YB8H,5,0,0
62823,R3FG2SBSFX53CF,1,20,21
36595,R16DI707MX1VRL,2,1,2
41810,R25NPZHL6PIJ5D,5,0,2
2967,R3FU696M1ZT67V,4,0,0
78285,R1JZKOGE2P6Y0N,4,0,0
70772,R3JM1HFPD0CH4V,2,0,0
113174,R2OFA67JD27UIJ,1,1,1
87090,R176YII9SW0258,4,0,0
73775,R1B0SVI1BHIYL3,5,0,0
66934,RIME0AQE4XUHN,5,0,0
26028,R3ISHWXS8R3DJW,5,0,0
79632,R22ZX8F9LT5DB2,2,1,1
21091,R1U6LX0VSJ8L8M,3,0,2
50453,R2M3QDGFQBKL53,5,0,0
30688,R1H8FM74R66HDU,1,2,3
108541,R33E471LRDU28M,5,0,0
58798,R19SZO2N9Z1EIH,4,0,0
44801,R1N4BRX9XA0J59,4,1,3
34766,R1KO50Y36ZFK1W,4,0,0
31243,R128DAZ8CYHRV6,5,2,3
76639,R1PDAUD62DOLI1,5,2,2
27768,R310EE8O47M0TF,5,0,0
91192,R3RFQFWWHUIXGR,5,0,1
113161,R1W1GQFY5NTX0R,5,0,0
87205,R3DFBMZBEQ5MSD,5,0,0
33746,R2BLE6F5RDWD8,5,0,0
114737,R3CCTL4FVGMIC7,3,1,1
62029,R2L88YMYCJP4XX,4,0,0
89606,R2JM2FL74BQWUE,3,1,19
14689,RS6LIDSARKYYB,1,1,1
50559,R16W3P5F4MCHHT,5,0,0
26919,RPU8MRJFA7BYV,2,0,0
59182,R3MH9F72D28E0S,5,2,2
138550,R2C8AR7JKM1707,5,0,1
126776,R2YBTHJ74E86L4,4,0,1
54009,R3QL1O7HQHQW02,5,0,0
96394,R21YWD94D26YIK,5,0,0
88326,R1XN2VJ61HKOBD,5,0,0
40549,R3EXS882H6K5IX,5,0,0
96435,RUP1DR96ZKBBR,5,0,0
114500,R3PMGXE8V22288,5,1,2
46473,R1XX6N1QWMI4KE,5,0,0
138645,R3SJNTGHHPHBUX,1,1,2
19294,R191SBQS17VPY0,5,0,0
118085,RCDGNL71ZB3Y6,3,0,0
11051,R2SW6H1HDTQK3H,4,1,1
53147,R1H1O2CC8GP3IU,5,0,0
122460,RAV29V9FQZ49A,5,2,4
115110,RSZNGQEGUUC54,5,0,0
36838,RWCDW7QFLPOTH,5,0,0
102831,R156EK07R702SY,5,0,0
43207,RE9PYIPVJ3Y1P,3,24,27
120578,R2JIW97P87DBR7,5,0,0
2246,R39DO2LG83OGDR,5,0,0
62968,RF51YRSXMT2HE,2,0,0
2891,R20TFWMM5Q560K,3,0,0
18775,RQ3TYGOL85FXY,5,0,0
131106,R2722ZMSL33FVF,4,14,18
18011,RHQRARD86UH2G,5,4,4
95607,R2G6PMEXW93W90,4,0,0
100479,R2XW6B4OIISFGY,5,1,2
109519,R2J0Q7T1Q8UMW9,1,1,7
90016,RACAC5LT565TK,1,1,1
98356,R1KBG0TWDVPPPS,4,0,0
110462,R23KEU85Q4WRAG,5,0,0
45978,R3QMLNBJWVSQDJ,1,0,7
14928,R2UWCG3S4O6MBW,4,0,0
83994,R8G70BYDH3B78,4,0,0
128713,R1VSXFXNOQ574G,5,2,2
47238,RU6XCZ5GKLV0X,5,0,0
69170,RBKLY1Z4QJ67U,5,0,0
23068,R3SFN9ZJHIBVZ7,4,0,0
81986,R2TZWHVFJ9L4HG,2,0,1
129160,R1JIMPB3KC2TWO,4,1,1
96910,RWY3NSQK9ZX3Z,4,3,3
129423,R21M51J98WFU29,1,1,3
122871,R1XDFUF13WUE9R,5,0,0
3595,R2FN8L20ZA11LI,1,0,2
71051,R2NOJGI5XFU4TS,1,0,0
103564,R3U0Y4JMG5TD1S,5,0,0
39078,R2Q7RVLFFO3V3N,5,0,0
99124,R23N44FHPWD8BJ,5,2,2
45974,RQ5BVEYJW2FZA,1,1,1
35224,R16UCVMT9F5GR7,3,0,1
90,R3CC3A8E03461F,4,0,0
128188,R29RE6Z672H7V7,5,2,2
71549,R1WB35YEA1HNAV,5,0,0
76504,R1FQU7QZ6X52A6,5,0,0
35386,R1XYVSM6CUH3TO,1,0,3
28400,R2TROFX9K1K1J5,5,0,0
133460,R2SCXITLDHCZ68,3,0,0
53582,R2M41NSOIJCV6K,1,0,1
63545,R2OQVKBKYY0OMY,3,0,1
20873,R10WSDNMLZI9L3,1,0,0
90492,R1JH1V0KUNWJ49,5,0,0
96194,RDPTN7LMZOE7L,5,0,0
103256,R3N5MOZWKMBZRG,4,0,2
24586,R1GPCIMDO11B63,5,0,0
53560,R3JWFRHK7CX5AW,1,2,2
52981,R2RB35XWDHUZJY,5,0,0
79498,RTOH20I0Z2L07,3,0,0
109683,R3DI43KI5QJIM9,4,0,0
58742,R1HZQ60RWNUGZE,5,0,0
98663,R1FIW5VMTX8G44,5,1,1
5703,R2J6SYDO8XMGMN,3,0,0
93669,R3GEML8IOQY90G,5,0,0
113130,R3DUPLW7Q7RGG4,5,0,1
105820,R2SU64ZDO4NG91,5,0,0
64149,R2MV1NHPJOKSZM,5,2,2
126645,R1FNZ8CMW7OUY9,4,8,14
70714,R2I7CZKZMQUO96,4,0,0
30496,RKRCSTQX3MIRC,5,1,1
113432,R21N5BQ8PXIEK6,4,1,3
113671,R1ORZ3WDGF6LUL,5,0,0
111752,R17X5HNW3NZH9L,5,0,0
36311,R1PCMCYDOGNQAO,1,5,6
82621,R2U6K8BASZETTG,1,1,1
36163,R2GGI7PIAXKZES,4,0,4
32497,RDQU83P05XENQ,2,1,1
115257,RS1RIFJXPHPBC,5,2,2
62013,R2QZQVPXHRV4MS,3,1,1
93908,R1113MJZR8Z67A,1,2,5
121139,RQ91ZFB0BIY9O,4,1,1
26640,R1EPLZ182QTXYJ,4,0,0
6952,R21SU0H6ZHUA0I,5,0,0
53781,RRM3PMAP3CNXC,1,2,2
11768,R1YGAS2EYDQB2V,5,0,0
4842,R14R2K2BILIZPP,2,0,0
90171,R1NRVLOTL8PMY4,3,14,14
57013,RGRIAA3LJ346V,5,0,0
102936,RZ6ZZGEMK0VR9,4,5,8
18731,R160GCV4NRYWS2,4,0,1
18595,RSQ6L6OMJ8LHK,5,0,0
35811,R18HVSJ85SDBBL,1,1,43
72779,R30OP350HFNEM7,5,0,1
72147,RL8RI7IA104BA,5,1,1
24218,R2NRT5Z08VULP9,5,0,1
73697,R3VHFVD21R4A0L,1,0,1
2456,RE1T7OYGE528O,5,0,0
85302,R34B8QVYZJRD56,5,0,0
129699,R3749M4JRUHZE6,1,4,12
78249,R1KCXUR3ATVF6,5,0,0
99908,R2GZSJW7P8KFO1,2,1,1
76278,R177BSKC5NXKJC,5,0,1
33626,R2O47GGW76108M,3,2,2
68872,R2ZLC26DRQWYLA,5,0,0
126513,RIBL1AVZPALDD,4,18,21
62789,R35X18QGA5KYG6,3,0,0
68486,R1M1POQ14O2485,5,0,0
75619,R255IGT7WGBZFH,5,1,4
